,ENDO,GBM,BRCA,HNSCC,LUAD,OVARIAN,CCRCC
281,DISC2,ATP13A1,CSPP1,AC016553.1,CARD6,NCAPD2,COPG2
282,DISP1,ATP1A3,CSRP1,AC016575.1,CASQ1,NCEH1,COPS6
283,DNAH14,ATP4A,CTCFL,AC016575.2,CBX3,NDRG1,COX19
284,DNAJC5,ATP5F1D,CTHRC1,AC016576.1,CCDC126,NDUFB5,COX7C
285,DNM3,ATP5F1E,CTSE,AC016595.1,CCDC127,NDUFB9,CPA1
286,DNM3-IT1,ATP5MF,CTSK,AC016612.1,CCDC129,NELFCD,CPA2
287,DNM3OS,ATP5MF-PTCD1,CTSS,AC016650.1,CCDC152,NIPAL2,CPA4
288,DPM3,ATP6V0A4,CTSZ,AC016877.1,CCDC160,NLGN1,CPA5
289,DPT,ATP6V0E2,CYB5R1,AC016877.2,CCDC166,NMD3,CPEB4
290,DPY19L4,ATP6V1F,CYC1,AC016877.3,CCDC175,NOP2,CPED1
291,DPYS,ATP6V1FNB,CYHR1,AC016885.1,CCDC181,NOV,CPLX2
292,DRD5P2,ATP8B3,CYP11B1,AC016885.2,CCDC185,NPEPL1,CPSF4
293,DSCC1,ATP9A,CYP11B2,AC016885.3,CCDC190,NPR1,CPVL
294,DSTYK,ATRN,CYP7A1,AC016931.1,CCL28,NRBP2,CRCP
295,DTL,ATXN7L1,CYP7B1,AC016933.1,CCM2,NSMCE2,CREB3L2
296,DUPD1,AURKA,DAP3,AC016949.1,CCNE2,NUDCD1,CREB5
297,DUSP10,AURKC,DARC,AC018442.1,CCSAP,OC90,CREBRF
298,DUSP12,AUTS2,DARS2,AC018442.2,CCT3,ODF1,CRHBP
299,DUSP13,AVIL,DCAF13,AC018442.3,CCT5,OGFR,CRHR2
300,DUSP23,AVL9,DCAF4L2,AC018450.1,CCT6A,OPA1,CROT
301,DUSP27,AVP,DCAF6,AC018450.2,CCZ1,OPLAH,CRYGN
302,DUSP5P1,AXL,DCAF8,AC018545.1,CCZ1B,OSR2,CSF1R
303,DYRK3,AZGP1,DCST1,AC018616.1,CD160,OSTN,CSF2
