,gene
1554,RABIF
1555,RALGPS2
1556,RASAL2
1557,RASSF5
1558,RBBP5
1559,RBM34
1560,RBM8A
1561,RC3H1
1562,RCOR3
1563,RCSD1
1564,RD3
1565,REN
1566,RFX5
1567,RGL1
1568,RGS1
1569,RGS13
1570,RGS16
1571,RGS18
1572,RGS2
1573,RGS21
1574,RGS4
1575,RGS5
1576,RGS7
1577,RGS8
1578,RGSL1
1579,RHBG
1580,RHOU
1581,RIIAD1
1582,RIT1
1583,RNASEL
1584,RNF115
1585,RNF187
1586,RNF2
1587,RNPEP
1588,RORC
1589,RPRD2
1590,RPS27
1591,RPS6KC1
1592,RPTN
1593,RRNAD1
1594,RRP15
1595,RUSC1
1596,RXFP4
1597,RXRG
1598,RYR2
1599,S100A1
1600,S100A10
1601,S100A11
1602,S100A12
1603,S100A13
1604,S100A14
1605,S100A16
1606,S100A2
1607,S100A3
1608,S100A4
1609,S100A5
1610,S100A6
1611,S100A7
1612,S100A7A
1613,S100A7L2
1614,S100A8
1615,S100A9
1616,SCCPDH
1617,SCNM1
1618,SCYL3
1619,SDE2
1620,SDHC
1621,SEC16B
1622,SELE
1623,SELENBP1
1624,SELL
1625,SELP
1626,SEMA4A
1627,SEMA6C
1628,SERPINC1
1629,SERTAD4
1630,SETDB1
1631,SF3B4
1632,SFT2D2
1633,SH2D1B
1634,SH2D2A
1635,SH3BP5L
1636,SHC1
1637,SHCBP1L
1638,SHE
1639,SHISA4
1640,SIPA1L2
1641,SLAMF1
1642,SLAMF6
1643,SLAMF7
1644,SLAMF8
1645,SLAMF9
1646,SLC19A2
1647,SLC25A44
1648,SLC26A9
1649,SLC30A1
1650,SLC30A10
1651,SLC35F3
1652,SLC39A1
1653,SLC41A1
1654,SLC45A3
1655,SLC50A1
1656,SLC9C2
1657,SMCP
1658,SMG5
1659,SMG7
1660,SMYD2
1661,SMYD3
1662,SNAP47
1663,SNAPIN
1664,SNRPE
1665,SNX27
1666,SOAT1
1667,SOX13
1668,SPATA17
1669,SPHAR
1670,SPRR1A
1671,SPRR1B
1672,SPRR2A
1673,SPRR2B
1674,SPRR2D
1675,SPRR2E
1676,SPRR2F
1677,SPRR2G
1678,SPRR3
1679,SPRR4
1680,SPRTN
1681,SPTA1
1682,SRGAP2
1683,SRGAP2B
